"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"ARDUINO1";"ARDNANO30NP";1;"ARD-NANO30NP";;;
2;"T1";"TO92-ECB";1;"2SC945";;;
3;"C2";"E1,8-4";1;"100n";;;
4;"C1";"E1,8-4";1;"330n";;;
5;"I2C1,DRIVER1";"7395-04";2;"22-?-0405-7048";;;
6;"HALL1";"7395-03";1;"22-?-0305-7038";;;
7;"VIN1";"7395-02";1;"22-?-0205-7028";;;
8;"SW1";"PEC12_INCREMENTAL_ENCODER";1;"ENCODER_SW1-PEC12";;;
9;"R5";"RTRIM3339P";1;"15k";;;
10;"BUZZER1";"TMB12A05";1;"TMB12A05";;;
11;"REGULADOR1";"LINEAR_TO220H";1;"LINEAR_7812T";;;
12;"LCD1";"L2034-T";1;"L2034-T";;;
13;"H1,H2,H3,H4";"HOLES_3,6";4;"HOLES_MOUNT-HOLE3.6";;;
14;"R6";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";1;"10R";;;
15;"C3";"C_Rect_L7.0mm_W3.5mm_P5.00mm";1;"100nF";;;
16;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10R";;;
17;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k";;;
18;"R2,R3,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"10k";;;
19;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"0";;;
